role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
population,46,cardboard,8,8050,0.05719822272658348,0.047771479934453964,-23.998044967651367,0.003112068632617593,-3.4880564212799072,-9.0,9.0,23.606151580810547,1.7842196226119995,1.3958052396774292,-0.7864556908607483,3630
population,46,cardboard,9,8050,0.07687823474407196,0.09594084322452545,-22.999452590942383,0.003113426733762026,0.5216891765594482,-9.0,9.0,22.96420669555664,2.384671449661255,1.521299123764038,-0.8512497544288635,3631
population,46,cardboard,10,8050,0.033850427716970444,0.03660348430275917,-22.647611618041992,0.0031150111462920904,12.098825454711914,-9.0,9.0,22.430782318115234,2.8991942405700684,1.6594295501708984,-0.8308952450752258,3632
population,46,cardboard,11,8050,0.03746185451745987,0.04592296853661537,-23.32621955871582,0.003116074949502945,-9.306122779846191,-9.0,9.0,23.14384651184082,2.272603750228882,1.349537968635559,-0.8394975662231445,3633
population,46,cardboard,12,8050,0.06256251782178879,0.06488164514303207,-23.69959259033203,0.003117396030575037,5.857692718505859,-9.0,9.0,23.29967498779297,2.6059608459472656,1.5349664688110352,-0.8266567587852478,3634
population,46,cardboard,13,8050,0.07450760155916214,0.07816539704799652,-23.39751625061035,0.0031189483124762774,6.90657901763916,-9.0,9.0,23.089693069458008,2.2672274112701416,1.5740727186203003,-0.8330564498901367,3635
population,46,cardboard,14,8050,0.12256576120853424,0.14277368783950806,-22.547401428222656,0.0031200163066387177,-5.217477798461914,-9.0,9.0,22.679893493652344,2.2650818824768066,1.4090057611465454,-0.8406426310539246,3636
population,46,cardboard,15,8050,0.17670634388923645,0.17191286385059357,-23.685504913330078,0.0031212158501148224,3.7654881477355957,-9.0,9.0,23.82259750366211,1.895329236984253,1.547268271446228,-0.8278096914291382,3637
population,46,cardboard,16,8050,0.15205049514770508,0.15184473991394043,-23.324583053588867,0.003122391877695918,1.5260601043701172,-9.0,9.0,22.74867820739746,1.9660404920578003,1.5021874904632568,-0.8292180299758911,3638
population,46,cardboard,17,8050,0.2563765347003937,0.24326491355895996,-24.11419677734375,0.0031230871099978685,-8.461069107055664,-9.0,9.0,23.577116012573242,2.0024642944335938,1.3479212522506714,-0.8147121071815491,3639
population,46,cardboard,18,8050,0.08668320626020432,0.0739947035908699,-23.137426376342773,0.00312403729185462,5.145254135131836,-9.0,9.0,23.203861236572266,2.7819175720214844,1.5584005117416382,-0.8407272100448608,3640
population,46,cardboard,19,8050,0.19025245308876038,0.19991208612918854,-23.08852195739746,0.003125256160274148,12.567910194396973,-9.0,9.0,23.320850372314453,2.2097878456115723,1.6031259298324585,-0.8530706167221069,3641
population,46,cardboard,20,8050,0.05186589062213898,0.06263717263936996,-23.07210922241211,0.0031259895768016577,-10.824420928955078,-9.0,9.0,22.98679542541504,2.365617036819458,1.2801923751831055,-0.8343279957771301,3642
population,46,cardboard,21,8050,0.2383134365081787,0.2674642503261566,-23.48859405517578,0.0031262862030416727,-7.679410457611084,-9.0,9.0,22.936643600463867,1.9519120454788208,1.3645888566970825,-0.8457556962966919,3643
population,46,cardboard,22,8050,0.08844386786222458,0.10339276492595673,-23.13909149169922,0.003126394934952259,-2.5079450607299805,-9.0,9.0,22.751710891723633,2.257249116897583,1.4158271551132202,-0.8349373936653137,3644
population,46,cardboard,23,8050,0.14805491268634796,0.14642713963985443,-23.489564895629883,0.003126712515950203,3.4829630851745605,-9.0,9.0,23.535850524902344,2.599381446838379,1.5176724195480347,-0.7846700549125671,3645
population,46,cardboard,24,8050,0.055590078234672546,0.07778409123420715,-23.428503036499023,0.00312695256434381,-0.7283562421798706,-9.0,9.0,23.321950912475586,2.7527284622192383,1.5131137371063232,-0.7776950597763062,3646
population,46,cardboard,25,8050,0.04195408523082733,0.050466135144233704,-24.00296974182129,0.0031268049497157335,-10.932403564453125,-9.0,9.0,23.749797821044922,2.5018091201782227,1.345331072807312,-0.7749342322349548,3647
population,46,cardboard,26,8050,0.08386922627687454,0.09342213720083237,-23.13251495361328,0.003126306924968958,-10.508682250976562,-9.0,9.0,22.71168327331543,2.0634732246398926,1.2908751964569092,-0.8315550088882446,3648
population,46,cardboard,27,8050,0.03760272637009621,0.053984832018613815,-23.45005226135254,0.003125496208667755,-17.746322631835938,-9.0,9.0,23.11471939086914,2.2386245727539062,1.2875001430511475,-0.7829604744911194,3649
population,46,cardboard,28,8050,0.03739341348409653,0.06464337557554245,-23.38399314880371,0.003124764421954751,-0.010689139366149902,-9.0,9.0,23.177818298339844,2.505657196044922,1.4740674495697021,-0.8113643527030945,3650
population,46,cardboard,29,8050,0.052639178931713104,0.10349535942077637,-23.340579986572266,0.003123912261798978,-3.085782289505005,-9.0,9.0,23.1226806640625,2.4537172317504883,1.4788035154342651,-0.8218509554862976,3651
population,46,cardboard,30,8050,0.08674389123916626,0.09333869814872742,-23.880237579345703,0.0031227818690240383,-14.263503074645996,-9.0,9.0,23.402795791625977,1.93497633934021,1.2949343919754028,-0.7976674437522888,3652
population,46,cardboard,31,8050,0.03308641165494919,0.06651079654693604,-23.24441146850586,0.0031214002519845963,-8.152844429016113,-9.0,9.0,22.734960556030273,2.157273530960083,1.4251035451889038,-0.8200600743293762,3653
population,46,cardboard,32,8050,0.08908871561288834,0.08970818668603897,-23.444488525390625,0.0031198766082525253,-4.4778571128845215,-9.0,9.0,23.12944793701172,1.980686068534851,1.4906294345855713,-0.7916679382324219,3654
population,46,cardboard,33,8050,0.062217243015766144,0.0957612544298172,-23.503087997436523,0.003118222812190652,-4.4969024658203125,-9.0,9.0,23.458585739135742,2.3616881370544434,1.5013993978500366,-0.813902735710144,3655
population,46,cardboard,34,8050,0.1327291578054428,0.09161265194416046,-23.716949462890625,0.003116798587143421,1.0363926887512207,-9.0,9.0,23.315149307250977,2.712181568145752,1.5350124835968018,-0.7827437520027161,3656
population,46,cardboard,35,8050,0.08531694859266281,0.0953781008720398,-23.26633644104004,0.0031158416531980038,5.141775608062744,-9.0,9.0,22.80510711669922,2.682516098022461,1.4947956800460815,-0.8624282479286194,3657
population,46,cardboard,36,8050,0.0849861279129982,0.03888741135597229,-23.349689483642578,0.0031150884460657835,1.7363711595535278,-9.0,9.0,23.27979278564453,1.9932808876037598,1.5016313791275024,-0.8636111617088318,3658
population,46,cardboard,37,8050,0.019264742732048035,0.017809497192502022,-23.26559829711914,0.0031145834363996983,2.729140520095825,-9.0,9.0,23.1412296295166,1.948740005493164,1.472222924232483,-0.8747496604919434,3659
population,46,cardboard,38,8050,0.03632671386003494,0.031049277633428574,-23.283727645874023,0.003114491468295455,14.449373245239258,-9.0,9.0,23.047943115234375,2.6346447467803955,1.6974363327026367,-0.8823346495628357,3660
population,46,cardboard,39,8050,0.035322148352861404,0.03842480108141899,-23.788618087768555,0.003114772029221058,19.256750106811523,-9.0,9.0,23.567590713500977,2.210564374923706,1.6973000764846802,-0.8359026908874512,3661
